"state","city","svi"
"Distrito Federal","Brasília",0.294
"Goiás","Acreúna",0.314
"Goiás","Adelândia",0.311
"Goiás","Aloândia",0.269
"Goiás","Alto Horizonte",0.195
"Goiás","Alto Paraíso de Goiás",0.322
"Goiás","Alvorada do Norte",0.388
"Goiás","Amaralina",0.362
"Goiás","Americano do Brasil",0.297
"Goiás","Amorinópolis",0.311
"Goiás","Anhanguera",0.159
"Goiás","Anicuns",0.244
"Goiás","Anápolis",0.24
"Goiás","Aparecida do Rio Doce",0.29
"Goiás","Aporé",0.358
"Goiás","Aragarças",0.259
"Goiás","Araguapaz",0.296
"Goiás","Araçu",0.342
"Goiás","Arenópolis",0.321
"Goiás","Aruanã",0.269
"Goiás","Aurilândia",0.314
"Goiás","Avelinópolis",0.287
"Goiás","Baliza",0.459
"Goiás","Barro Alto",0.246
"Goiás","Bom Jardim de Goiás",0.37
"Goiás","Bom Jesus de Goiás",0.327
"Goiás","Bonópolis",0.307
"Goiás","Britânia",0.292
"Goiás","Buriti Alegre",0.272
"Goiás","Buriti de Goiás",0.251
"Goiás","Buritinópolis",0.363
"Goiás","Cachoeira Alta",0.367
"Goiás","Cachoeira Dourada",0.271
"Goiás","Cachoeira de Goiás",0.25
"Goiás","Caiapônia",0.289
"Goiás","Caldas Novas",0.209
"Goiás","Campestre de Goiás",0.304
"Goiás","Campinaçu",0.332
"Goiás","Campinorte",0.267
"Goiás","Campo Alegre de Goiás",0.274
"Goiás","Campo Limpo de Goiás",0.311
"Goiás","Campos Belos",0.311
"Goiás","Campos Verdes",0.385
"Goiás","Carmo do Rio Verde",0.256
"Goiás","Castelândia",0.381
"Goiás","Catalão",0.209
"Goiás","Cavalcante",0.428
"Goiás","Caçu",0.215
"Goiás","Ceres",0.189
"Goiás","Cezarina",0.242
"Goiás","Chapadão do Céu",0.173
"Goiás","Colinas do Sul",0.317
"Goiás","Corumbaíba",0.262
"Goiás","Cristianópolis",0.196
"Goiás","Crixás",0.277
"Goiás","Cromínia",0.246
"Goiás","Cumari",0.173
"Goiás","Córrego do Ouro",0.188
"Goiás","Damianópolis",0.379
"Goiás","Damolândia",0.227
"Goiás","Davinópolis",0.294
"Goiás","Diorama",0.256
"Goiás","Divinópolis de Goiás",0.313
"Goiás","Doverlândia",0.305
"Goiás","Edealina",0.282
"Goiás","Edéia",0.276
"Goiás","Estrela do Norte",0.223
"Goiás","Faina",0.349
"Goiás","Fazenda Nova",0.298
"Goiás","Firminópolis",0.224
"Goiás","Flores de Goiás",0.482
"Goiás","Formoso",0.322
"Goiás","Gameleira de Goiás",0.225
"Goiás","Goiandira",0.228
"Goiás","Goianésia",0.287
"Goiás","Goiatuba",0.329
"Goiás","Goiás",0.299
"Goiás","Gouvelândia",0.35
"Goiás","Guarani de Goiás",0.401
"Goiás","Guaraíta",0.24
"Goiás","Guarinos",0.32
"Goiás","Heitoraí",0.357
"Goiás","Hidrolina",0.299
"Goiás","Iaciara",0.426
"Goiás","Inaciolândia",0.314
"Goiás","Indiara",0.282
"Goiás","Ipameri",0.278
"Goiás","Ipiranga de Goiás",0.292
"Goiás","Iporá",0.201
"Goiás","Israelândia",0.285
"Goiás","Itaberaí",0.253
"Goiás","Itaguari",0.317
"Goiás","Itaguaru",0.247
"Goiás","Itajá",0.244
"Goiás","Itapaci",0.326
"Goiás","Itapirapuã",0.321
"Goiás","Itapuranga",0.232
"Goiás","Itarumã",0.304
"Goiás","Itauçu",0.229
"Goiás","Itumbiara",0.211
"Goiás","Ivolândia",0.242
"Goiás","Jandaia",0.294
"Goiás","Jaraguá",0.259
"Goiás","Jataí",0.207
"Goiás","Jaupaci",0.248
"Goiás","Jesúpolis",0.303
"Goiás","Joviânia",0.364
"Goiás","Jussara",0.226
"Goiás","Lagoa Santa",0.173
"Goiás","Leopoldo de Bulhões",0.289
"Goiás","Mairipotaba",0.285
"Goiás","Mambaí",0.389
"Goiás","Mara Rosa",0.316
"Goiás","Marzagão",0.246
"Goiás","Matrinchã",0.294
"Goiás","Maurilândia",0.376
"Goiás","Minaçu",0.298
"Goiás","Mineiros",0.253
"Goiás","Moiporá",0.234
"Goiás","Monte Alegre de Goiás",0.47
"Goiás","Montes Claros de Goiás",0.275
"Goiás","Montividiu",0.191
"Goiás","Montividiu do Norte",0.377
"Goiás","Morrinhos",0.21
"Goiás","Morro Agudo de Goiás",0.306
"Goiás","Mossâmedes",0.222
"Goiás","Mozarlândia",0.276
"Goiás","Mundo Novo",0.381
"Goiás","Mutunópolis",0.313
"Goiás","Nazário",0.295
"Goiás","Niquelândia",0.266
"Goiás","Nova América",0.244
"Goiás","Nova Aurora",0.206
"Goiás","Nova Crixás",0.338
"Goiás","Nova Glória",0.346
"Goiás","Nova Iguaçu de Goiás",0.31
"Goiás","Nova Roma",0.303
"Goiás","Novo Brasil",0.267
"Goiás","Novo Planalto",0.423
"Goiás","Orizona",0.244
"Goiás","Ouro Verde de Goiás",0.229
"Goiás","Ouvidor",0.161
"Goiás","Palestina de Goiás",0.229
"Goiás","Palmeiras de Goiás",0.267
"Goiás","Palmelo",0.184
"Goiás","Palminópolis",0.221
"Goiás","Panamá",0.248
"Goiás","Paranaiguara",0.269
"Goiás","Paraúna",0.294
"Goiás","Perolândia",0.264
"Goiás","Petrolina de Goiás",0.235
"Goiás","Pilar de Goiás",0.331
"Goiás","Piracanjuba",0.29
"Goiás","Piranhas",0.252
"Goiás","Pires do Rio",0.203
"Goiás","Pontalina",0.345
"Goiás","Porangatu",0.258
"Goiás","Porteirão",0.232
"Goiás","Portelândia",0.295
"Goiás","Posse",0.405
"Goiás","Professor Jamil",0.297
"Goiás","Quirinópolis",0.234
"Goiás","Rialma",0.204
"Goiás","Rianápolis",0.239
"Goiás","Rio Quente",0.148
"Goiás","Rio Verde",0.224
"Goiás","Rubiataba",0.233
"Goiás","Sanclerlândia",0.248
